+----------------------------------------------------------------------------------------------------------------+------------------------------------------------------+----------+
| Class                                                                                                          | Registry name                                        | Ticking? |
| thaumcraft.common.tiles.devices.TileLampArcane                                                                 | thaumcraft:tilelamparcane                            |      yes |
| thaumcraft.common.tiles.devices.TileLampFertility                                                              | thaumcraft:tilelampfertility                         |      yes |
| thaumcraft.common.tiles.devices.TileLampGrowth                                                                 | thaumcraft:tilelampgrowth                            |      yes |
| thaumcraft.common.tiles.devices.TileLevitator                                                                  | thaumcraft:tilelevitator                             |      yes |
| thaumcraft.common.tiles.devices.TileMirror                                                                     | thaumcraft:tilemirror                                |      yes |
| thaumcraft.common.tiles.devices.TileMirrorEssentia                                                             | thaumcraft:tilemirroressentia                        |      yes |
| thaumcraft.common.tiles.devices.TilePotionSprayer                                                              | thaumcraft:tilepotionsprayer                         |      yes |
| thaumcraft.common.tiles.devices.TileRechargePedestal                                                           | thaumcraft:tilerechargepedestal                      |      yes |
| thaumcraft.common.tiles.devices.TileRedstoneRelay                                                              | thaumcraft:tileredstonerelay                         |        - |
| thaumcraft.common.tiles.devices.TileSpa                                                                        | thaumcraft:tilespa                                   |      yes |
| thaumcraft.common.tiles.devices.TileStabilizer                                                                 | thaumcraft:tilestabilizer                            |      yes |
| thaumcraft.common.tiles.devices.TileVisGenerator                                                               | thaumcraft:tilevisgenerator                          |      yes |
| thaumcraft.common.tiles.devices.TileWaterJug                                                                   | thaumcraft:tilewaterjug                              |      yes |
| thaumcraft.common.tiles.essentia.TileAlembic                                                                   | thaumcraft:tilealembic                               |        - |
| thaumcraft.common.tiles.essentia.TileCentrifuge                                                                | thaumcraft:tilecentrifuge                            |      yes |
| thaumcraft.common.tiles.essentia.TileEssentiaInput                                                             | thaumcraft:tileessentiainput                         |      yes |
| thaumcraft.common.tiles.essentia.TileEssentiaOutput                                                            | thaumcraft:tileessentiaoutput                        |      yes |
| thaumcraft.common.tiles.essentia.TileJarFillable                                                               | thaumcraft:tilejar                                   |      yes |
| thaumcraft.common.tiles.essentia.TileJarFillableVoid                                                           | thaumcraft:tilejarvoid                               |      yes |
| thaumcraft.common.tiles.essentia.TileSmelter                                                                   | thaumcraft:tilesmelter                               |      yes |
| thaumcraft.common.tiles.essentia.TileTube                                                                      | thaumcraft:tiletube                                  |      yes |
| thaumcraft.common.tiles.essentia.TileTubeBuffer                                                                | thaumcraft:tiletubebuffer                            |      yes |
| thaumcraft.common.tiles.essentia.TileTubeFilter                                                                | thaumcraft:tiletubefilter                            |      yes |
| thaumcraft.common.tiles.essentia.TileTubeOneway                                                                | thaumcraft:tiletubeoneway                            |      yes |
| thaumcraft.common.tiles.essentia.TileTubeRestrict                                                              | thaumcraft:tiletuberestrict                          |      yes |
| thaumcraft.common.tiles.essentia.TileTubeValve                                                                 | thaumcraft:tiletubevalve                             |      yes |
| thaumcraft.common.tiles.misc.TileBanner                                                                        | thaumcraft:tilebanner                                |        - |
| thaumcraft.common.tiles.misc.TileBarrierStone                                                                  | thaumcraft:tilebarrierstone                          |      yes |
| thaumcraft.common.tiles.misc.TileHole                                                                          | thaumcraft:tilehole                                  |      yes |
| thaumcraft.common.tiles.misc.TileNitor                                                                         | thaumcraft:tilenitor                                 |      yes |
| vazkii.botania.common.block.tile.TileAlfPortal                                                                 | botania:alfheimportal                                |      yes |
| vazkii.botania.common.block.tile.TileAltar                                                                     | botania:altar                                        |      yes |
| vazkii.botania.common.block.tile.TileAnimatedTorch                                                             | botania:animatedtorch                                |      yes |
| vazkii.botania.common.block.tile.TileAvatar                                                                    | botania:avatar                                       |      yes |
| vazkii.botania.common.block.tile.TileBifrost                                                                   | botania:bifrost                                      |      yes |
| vazkii.botania.common.block.tile.TileBrewery                                                                   | botania:brewery                                      |      yes |
| vazkii.botania.common.block.tile.TileCacophonium                                                               | botania:cacophoniumblock                             |        - |
| vazkii.botania.common.block.tile.TileCell                                                                      | botania:cellblock                                    |        - |
| vazkii.botania.common.block.tile.TileCocoon                                                                    | botania:cocoon                                       |      yes |
| vazkii.botania.common.block.tile.TileCraftCrate                                                                | botania:craftcrate                                   |      yes |
| vazkii.botania.common.block.tile.TileEnchanter                                                                 | botania:enchanter                                    |      yes |
| vazkii.botania.common.block.tile.TileEnderEye                                                                  | botania:endereyeblock                                |      yes |
| vazkii.botania.common.block.tile.TileFakeAir                                                                   | botania:fakeair                                      |        - |
| vazkii.botania.common.block.tile.TileFloatingFlower                                                            | botania:miniisland                                   |        - |
| vazkii.botania.common.block.tile.TileFloatingSpecialFlower                                                     | botania:floatingspecialflower                        |      yes |
| vazkii.botania.common.block.tile.TileForestEye                                                                 | botania:foresteye                                    |      yes |
| vazkii.botania.common.block.tile.TileGaiaHead                                                                  | botania:gaiaheadblock                                |      yes |
| vazkii.botania.common.block.tile.TileHourglass                                                                 | botania:hourglass                                    |      yes |
| vazkii.botania.common.block.tile.TileIncensePlate                                                              | botania:incenseplate                                 |      yes |
| vazkii.botania.common.block.tile.TileLightRelay                                                                | botania:lightrelay                                   |      yes |
| vazkii.botania.common.block.tile.TileManaFlame                                                                 | botania:manaflame                                    |      yes |
| vazkii.botania.common.block.tile.TileOpenCrate                                                                 | botania:opencrate                                    |      yes |
| vazkii.botania.common.block.tile.TilePlatform                                                                  | botania:platform                                     |        - |
| vazkii.botania.common.block.tile.TilePylon                                                                     | botania:pylon                                        |      yes |
| vazkii.botania.common.block.tile.TileRuneAltar                                                                 | botania:runealtar                                    |      yes |
| vazkii.botania.common.block.tile.TileSparkChanger                                                              | botania:sparkchanger                                 |        - |
| vazkii.botania.common.block.tile.TileSpawnerClaw                                                               | botania:spawnerclaw                                  |      yes |
| vazkii.botania.common.block.tile.TileSpecialFlower                                                             | botania:specialflower                                |      yes |
| vazkii.botania.common.block.tile.TileStarfield                                                                 | botania:starfield                                    |      yes |
| vazkii.botania.common.block.tile.TileTerraPlate                                                                | botania:terraplate                                   |      yes |
| vazkii.botania.common.block.tile.TileTeruTeruBozu                                                              | botania:teruterubozu                                 |      yes |
| vazkii.botania.common.block.tile.TileTinyPlanet                                                                | botania:tinyplanetblock                              |      yes |
| vazkii.botania.common.block.tile.TileTinyPotato                                                                | botania:tinypotato                                   |      yes |
| vazkii.botania.common.block.tile.corporea.TileCorporeaCrystalCube                                              | botania:corporeacrystalcube                          |      yes |
| vazkii.botania.common.block.tile.corporea.TileCorporeaFunnel                                                   | botania:corporeafunnel                               |        - |
| vazkii.botania.common.block.tile.corporea.TileCorporeaIndex                                                    | botania:corporeaindex                                |      yes |
| vazkii.botania.common.block.tile.corporea.TileCorporeaInterceptor                                              | botania:corporeainterceptor                          |        - |
| vazkii.botania.common.block.tile.corporea.TileCorporeaRetainer                                                 | botania:corporearetainer                             |        - |
| vazkii.botania.common.block.tile.mana.TileBellows                                                              | botania:bellows                                      |      yes |
| vazkii.botania.common.block.tile.mana.TileDistributor                                                          | botania:distributor                                  |      yes |
| vazkii.botania.common.block.tile.mana.TileManaDetector                                                         | botania:manadetector                                 |      yes |
| vazkii.botania.common.block.tile.mana.TileManaVoid                                                             | botania:manavoid                                     |        - |
| vazkii.botania.common.block.tile.mana.TilePool                                                                 | botania:pool                                         |      yes |
| vazkii.botania.common.block.tile.mana.TilePrism                                                                | botania:prism                                        |        - |
| vazkii.botania.common.block.tile.mana.TilePump                                                                 | botania:pump                                         |      yes |
| vazkii.botania.common.block.tile.mana.TileRFGenerator                                                          | botania:rfgenerator                                  |      yes |
| vazkii.botania.common.block.tile.mana.TileSpreader                                                             | botania:spreader                                     |      yes |
| vazkii.botania.common.block.tile.mana.TileTurntable                                                            | botania:turntable                                    |      yes |
| vazkii.botania.common.block.tile.string.TileRedStringComparator                                                | botania:redstringcomparator                          |      yes |
| vazkii.botania.common.block.tile.string.TileRedStringContainer                                                 | botania:redstringcontainer                           |      yes |
| vazkii.botania.common.block.tile.string.TileRedStringDispenser                                                 | botania:redstringdispenser                           |      yes |
| vazkii.botania.common.block.tile.string.TileRedStringFertilizer                                                | botania:redstringfertilizer                          |      yes |
| vazkii.botania.common.block.tile.string.TileRedStringInterceptor                                               | botania:redstringinterceptor                         |      yes |
| vazkii.botania.common.block.tile.string.TileRedStringRelay                                                     | botania:redstringrelay                               |      yes |
+----------------------------------------------------------------------------------------------------------------+------------------------------------------------------+----------+
| Class                                                                                                          | Registry name                                        | Ticking? |
+----------------------------------------------------------------------------------------------------------------+------------------------------------------------------+----------+
